ID	instant_temp	total_energy	total_potential	lambda	binding_energy
123	2.90543e+02	-9.02089e+03	-1.24060e+04	1.00000e+00	-2.90011e+01
124	2.89812e+02	-9.04293e+03	-1.24195e+04	1.00000e+00	-2.63892e+01
125	2.90249e+02	-9.00965e+03	-1.23913e+04	1.00000e+00	-3.05780e+01
126	2.92249e+02	-9.01796e+03	-1.24229e+04	1.00000e+00	-3.16703e+01
127	2.94784e+02	-9.03383e+03	-1.24683e+04	1.00000e+00	-2.57721e+01
128	2.94866e+02	-9.01013e+03	-1.24456e+04	1.00000e+00	-3.25258e+01
129	2.92549e+02	-8.98225e+03	-1.23907e+04	1.00000e+00	-2.96986e+01
130	2.92186e+02	-8.99553e+03	-1.23998e+04	1.00000e+00	-3.76172e+01
131	2.96468e+02	-9.00175e+03	-1.24559e+04	1.00000e+00	-3.62265e+01
132	2.99326e+02	-8.98373e+03	-1.24711e+04	1.00000e+00	-3.34896e+01
133	2.94488e+02	-8.91770e+03	-1.23487e+04	1.00000e+00	-3.81155e+01
134	3.02123e+02	-8.88161e+03	-1.24016e+04	1.00000e+00	-3.59159e+01
135	3.01187e+02	-8.86122e+03	-1.23703e+04	1.00000e+00	-4.09986e+01
136	2.96525e+02	-8.86122e+03	-1.23160e+04	1.00000e+00	-3.63718e+01
137	2.95726e+02	-8.89929e+03	-1.23448e+04	1.00000e+00	-4.49637e+01
138	3.02831e+02	-8.86396e+03	-1.23922e+04	1.00000e+00	-4.43508e+01
139	3.00810e+02	-8.85765e+03	-1.23624e+04	1.00000e+00	-4.10667e+01
140	3.01427e+02	-8.83004e+03	-1.23419e+04	1.00000e+00	-3.91254e+01
141	3.02352e+02	-8.86451e+03	-1.23872e+04	1.00000e+00	-3.83553e+01
142	2.96985e+02	-8.87739e+03	-1.23375e+04	1.00000e+00	-3.63680e+01
143	2.94938e+02	-8.91050e+03	-1.23468e+04	1.00000e+00	-3.25742e+01
144	2.92593e+02	-8.92361e+03	-1.23326e+04	1.00000e+00	-3.36191e+01
145	2.93550e+02	-8.92327e+03	-1.23434e+04	1.00000e+00	-3.85660e+01
146	3.01852e+02	-8.88252e+03	-1.23994e+04	1.00000e+00	-3.94735e+01
147	3.00644e+02	-8.87242e+03	-1.23752e+04	1.00000e+00	-3.83366e+01
148	3.03978e+02	-8.85578e+03	-1.23974e+04	1.00000e+00	-3.61174e+01
149	2.97426e+02	-8.84611e+03	-1.23114e+04	1.00000e+00	-3.53674e+01
150	2.97764e+02	-8.82767e+03	-1.22969e+04	1.00000e+00	-3.82540e+01
151	2.98876e+02	-8.87448e+03	-1.23567e+04	1.00000e+00	-3.57579e+01
152	2.96523e+02	-8.85670e+03	-1.23115e+04	1.00000e+00	-3.09307e+01
153	2.97752e+02	-8.89126e+03	-1.23603e+04	1.00000e+00	-3.29016e+01
